------S代表品质提升,B代表代币------
次数 绿雕 蓝雕 红雕 紫雕
1 能量B 力竭B 接地B 接地B
2 接地B 信号B 辅助B 炮火B
3 战地B 修补B 干扰B 投诚B
4 修补B 投诚B 修补B 炮火B
5 保险B 修补B 干扰B 信号B
6 活力B 过热B 过载B 加固B
7 炮火B 炮火B 保险S 投诚B
8 保险S 活力B 过热S 接地B
9 炼金B 炮火B 绝缘B 战地B
10 加固B 过载B 活力B 昏沉B
11 保险B 肾上B 绝缘B 绝缘B
12 干扰B 修补B 昏沉B 肾上B
13 力竭B 接地B 保险S 炮火B
14 保险B 干扰S 过热B 加固B
15 炼金B 情报B 肾上B 保险S
16 战地B 接地B 肾上B 炼金B
17 接地S 修补B 炼金B 保险S
18 保险B 修补B 战地B 肾上B
19 昏沉B 过热B 投诚B 干扰B
20 投诚B 情报B 投诚B 修补B
21 炼金B 肾上B 肾上B 接地B
22 信号B 力竭B 辅助B 投诚B
23 战地B 过载B 硬化B 信号B
24 绝缘B 炮火B 辅助B 情报B
25 保险B 昏沉B 信号B 硬化B
26 肾上B 昏沉B 硬化B 炼金B
27 过热S 信号B 昏沉B 过载B
28 辅助B 活力B 昏沉B 投诚B
29 炮火B 信号B 炼金B 炮火B
30 力竭B 硬化B 辅助B 加固B
31 情报B 战地B 硬化S 过热S
32 保险B 信号B 战地B 加固B
33 保险B 投诚B 加固B 修补B
34 炼金B 情报B 炼金B 能量B
35 保险B 接地B 硬化S 炮火B
36 加固B 修补S 肾上B 过热B
37 炼金B 修补B 投诚B 过热B
38 硬化B 信号B 力竭B 修补B
39 干扰B 肾上B 活力B 炮火B
40 干扰B 加固B 硬化B 加固B
41 炼金B 炮火B 投诚B 过热B
42 修补S 信号B 辅助B 修补S
43 战地B 绝缘B 力竭B 情报B
44 活力B 信号B 活力B 炮火B
45 保险B 情报B 过载B 绝缘B
46 力竭S 修补S 力竭S 炮火B
47 投诚B 炼金B 过热B 信号B
48 情报B 干扰S 肾上B 过载B
49 干扰B 保险B 修补B 加固B
50 战地B 干扰B 绝缘B 辅助B
51 信号B 战地B 辅助B 加固B
52 信号B 投诚B 辅助B 信号B
53 炮火B 投诚B 辅助S 接地S
54 战地B 活力B 活力B 投诚B
55 加固B 干扰S 加固B 加固B
56 炼金B 接地B 信号B 力竭B
57 干扰B 信号B 硬化B 昏沉B
58 炼金B 投诚B 过热B 加固B
59 炮火B 炮火B 炼金B 加固B
60 保险B 过热B 力竭B 保险B
61 加固B 修补B 接地B 炮火B
62 干扰B 炮火B 肾上B 修补B
63 情报B 投诚B 绝缘B 修补B
64 炼金B 辅助B 活力B 炮火B
65 炼金B 干扰B 硬化B 修补B
66 干扰B 信号B 绝缘B 加固S
67 过热B 干扰B 干扰B 加固S
68 昏沉B 投诚B 辅助S 情报B
69 炼金B 信号B 力竭S 过热B
70 过热B 情报B 过载B 接地B
71 保险B 力竭B 加固B 接地B
72 辅助B 干扰B 加固B 炮火B
73 硬化B 修补B 绝缘B 情报B
74 昏沉S 活力B 硬化S 辅助B
75 炼金B 修补B 辅助B 活力B
76 力竭B 硬化B 能量B 过载B
77 过载B 情报B 力竭B 接地B
78 昏沉S 保险B 炮火B 信号B
79 炼金B 干扰B 干扰B 修补B
80 力竭B 投诚B 过载B 炼金B
81 战地B 肾上B 投诚B 能量B
82 保险B 情报B 硬化B 加固B
83 战地B 信号B 投诚B 加固B
84 肾上B 能量B 活力B 绝缘B
85 保险B 情报B 接地B 炼金B
86 力竭B 修补B 硬化B 炮火B
87 力竭B 昏沉B 力竭B 能量B
88 肾上B 过载B 能量B 投诚B
89 炮火B 绝缘B 绝缘B 炮火B
90 炼金B 昏沉B 保险B 修补B
91 炼金B 加固B 情报B 保险B
92 炮火B 干扰B 战地B 加固B
93 保险B 战地B 肾上B 硬化B
94 昏沉B 投诚B 绝缘B 炮火B
95 过载B 情报S 活力B 活力B
96 肾上B 辅助B 肾上B 硬化B
97 活力B 加固B 过热B 加固B
98 辅助B 修补B 过载B 辅助B
99 炮火B 保险B 活力B 肾上B
100 战地B 接地B 过热B 信号B
101 信号B 昏沉B 炮火B 修补B
102 炮火B 投诚B 信号B 炮火B
103 活力B 硬化B 情报B 加固B
104 炼金B 过热B 绝缘B 力竭B
105 信号B 投诚B 炼金B 加固B
106 炮火B 干扰B 活力B 炼金B
107 战地B 炼金B 情报B 修补B
108 活力B 过载B 绝缘B 力竭B
109 战地B 炮火B 情报B 接地B
110 能量B 昏沉B 投诚S 干扰S
