------S代表品质提升,B代表代币------
 次数     绿雕     蓝雕     红雕     紫雕
   1       肾上B   修补B   硬化B   肾上B
   2       炼金B   战地B   硬化B   辅助S
   3       活力B   信号B   活力B   能量B
   4       炼金B   绝缘B   肾上B   肾上B
   5       干扰B   昏沉B   干扰B   加固B
   6       修补B   信号B   战地B   昏沉B
   7       能量B   战地B   接地B   活力B
   8       保险B   加固B   绝缘B   加固B
   9       情报B   投诚B   炮火B   加固S
   10     战地B   情报B   硬化S   能量B
   11     力竭B   昏沉B   活力B   接地B
   12     保险B   投诚B   硬化S   加固B
   13     接地B   炼金B   战地B   战地B
   14     战地B   投诚B   力竭B   炮火B
   15     力竭S   战地B   辅助B   硬化S
   16     绝缘B   活力B   过载B   加固B
   17     绝缘B   情报B   绝缘B   接地B
   18     修补B   干扰B   硬化B   炼金B
   19     投诚B   保险B   活力B   炮火B
   20     战地B   情报B   绝缘B   能量B
   21     力竭B   力竭S   投诚B   活力B
   22     硬化B   炼金B   过载B   战地B
   23     战地B   修补S   硬化B   能量B
   24     力竭B   活力B   修补S   硬化S
   25     炮火B   接地B   硬化B   接地B
   26     保险S   干扰S   力竭S   情报B
   27     昏沉B   硬化B   力竭B   炮火B
   28     绝缘B   信号B   活力B   炮火B
   29     战地B   过载B   情报B   炮火B
   30     接地B   信号B   硬化B   战地S
   31     肾上B   情报B   保险B   辅助B
   32     炼金B   修补B   过载B   修补B
   33     加固B   修补S   保险B   信号B
   34     战地B   力竭B   过载B   能量B
   35     力竭B   昏沉B   炮火B   活力B
   36     昏沉B   干扰B   炼金B   炮火B
   37     昏沉B   战地B   肾上B   昏沉B
   38     信号B   修补B   活力B   硬化B
   39     保险B   昏沉B   过载S   修补B
   40     肾上B   活力B   绝缘B   能量B
   41     炼金B   投诚B   活力B   活力B
   42     绝缘B   力竭B   硬化B   投诚B
   43     炼金B   过热B   力竭B   力竭B
   44     加固B   干扰B   肾上B   过热S
   45     肾上B   过载S   硬化B   肾上B
   46     战地B   过载B   昏沉B   干扰B
   47     炼金B   炼金B   炮火B   昏沉B
   48     能量B   硬化B   硬化B   活力B
   49     信号B   昏沉B   肾上B   能量B
   50     活力B   昏沉B   活力B   能量B
   51     保险B   昏沉B   硬化B   能量B
   52     肾上B   修补B   干扰B   修补S
   53     保险B   炼金B   绝缘B   炼金B
   54     保险B   接地B   能量B   信号B
   55     炼金B   力竭S   活力B   接地B
   56     能量B   炮火B   辅助S   接地B
   57     战地B   肾上B   战地B   绝缘B
   58     接地B   信号B   力竭B   能量B
   59     保险B   硬化B   投诚B   信号B
   60     保险B   过载B   过载B   干扰B
   61     活力B   情报B   硬化S   炮火B
   62     炼金B   信号B   活力B   能量B
   63     接地B   炼金B   昏沉B   活力B
   64     接地B   投诚B   过载B   信号B
   65     力竭B   修补B   肾上B   活力B
   66     活力B   接地B   绝缘B   活力B
   67     接地B   昏沉B   炮火B   投诚B
   68     能量B   干扰B   辅助B   信号B
   69     肾上B   昏沉B   肾上B   投诚B
   70     投诚B   昏沉B   肾上B   能量B
   71     战地B   干扰B   绝缘B   炮火B
   72     情报B   炮火B   硬化B   炮火B
   73     战地B   辅助S   过热S   硬化B
   74     昏沉S   信号B   活力B   炮火B
   75     能量B   活力B   绝缘B   加固B
   76     炼金B   投诚S   活力B   炼金B
   77     绝缘B   接地B   力竭S   保险B
   78     战地B   活力B   战地B   绝缘B
   79     炼金B   硬化B   活力B   炮火B
   80     昏沉B   过载B   炮火B   接地B
   81     保险B   投诚B   过热B   绝缘B
   82     加固B   信号B   力竭B   修补B
   83     信号B   投诚B   过热B   过载B
   84     力竭B   绝缘B   辅助S   干扰B
   85     保险B   保险B   信号B   炼金B
   86     战地B   过载B   肾上B   投诚B
   87     情报B   修补S   肾上B   炮火B
   88     过载B   硬化B   过热B   炮火B
   89     过热S   修补B   战地B   加固B
   90     昏沉B   能量B   力竭B   炮火B
   91     活力B   辅助S   过热S   加固B
   92     干扰B   修补B   接地B   信号B
   93     修补S   情报S   活力B   干扰S
   94     炮火B   加固B   修补B   炮火B
   95     力竭B   干扰B   过热B   投诚B
   96     保险B   保险B   过热B   炮火B
   97     保险B   过热B   投诚B   接地B
   98     信号B   硬化S   肾上B   炮火B
   99     过载S   过载S   炮火B   接地S
   100   能量B   干扰S   绝缘B   修补S
------序列说明------
1.一行序列四选一,例如同时造完4个雕像,你领取的顺序决定你雕刻的序列顺序,如果你第一个领的是绿雕,就是对应的是第一行绿雕序列,领的第二个蓝雕,就是对应第二行蓝雕的序列,以此类推。
2.品质提升有概率发生变异变成代币这个属性正常现象,某个属性经验+品质升满以后,不会出现这个属性,因此序号会打乱
